City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Le Port,RE,67.24,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
Kodiak,US,51.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
Severo-Kurilsk,RU,47.86,overcast clouds,50.6789,156.125,Kak Doma
Barcelos,PT,60.91,broken clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
Bredasdorp,ZA,49.21,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
Tasiilaq,GL,44.76,broken clouds,65.6145,-37.6368,The Red House
Hobart,AU,53.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
Mataura,NZ,42.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
Arica,CL,62.15,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
Rosetown,CA,69.66,heavy intensity rain,51.5501,-108.0014,Travelodge by Wyndham Rosetown
Ribeira Grande,PT,63.77,few clouds,38.5167,-28.7,Quinta da Meia Eira
Christchurch,NZ,49.91,broken clouds,-43.5333,172.6333,The George
Kruisfontein,ZA,47.98,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
Kaeo,NZ,55.33,overcast clouds,-35.1,173.7833,Bushido Lodge
Mar Del Plata,AR,48.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
Oboyan,RU,65.66,few clouds,51.2098,36.2792,"Gostinitsa Oboyan Zao Izoplit, Kafe Nostal'zhi"
Okhotsk,RU,51.53,overcast clouds,59.3833,143.3,
Tuatapere,NZ,47.34,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
Airai,TL,58.06,overcast clouds,-8.9266,125.4092,
Port Elizabeth,ZA,52.32,clear sky,-33.918,25.5701,39 On Nile Guest House
Busselton,AU,59.72,overcast clouds,-33.65,115.3333,Observatory Guest House
Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
Novoagansk,RU,59.94,overcast clouds,61.9449,76.6625,
Bogdanovich,RU,54.75,broken clouds,56.7803,62.0494,"Pervomayskaya, Gostinitsa"
Husavik,IS,51.53,overcast clouds,66.0449,-17.3389,Bjarnabúð
Saint-Augustin,CA,46.36,overcast clouds,51.226,-58.6502,
Hokitika,NZ,50.31,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
Zeitz,DE,66.72,scattered clouds,51.05,12.15,Hotel Weiße Elster
Bloemhof,ZA,54.34,clear sky,-27.6469,25.607,Victory Towers
Saint-Pierre,RE,66.9,broken clouds,-21.3393,55.4781,Alize Plage
Baykit,RU,61.59,overcast clouds,61.67,96.37,
Alice Springs,AU,51.35,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
