,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Le Port,RE,-20.9373,55.2919,67.24,71,4,3.33,light rain
1,Kodiak,US,57.79,-152.4072,51.31,82,100,12.66,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,35.71,87,20,19.57,few clouds
3,Tiksi,RU,71.6872,128.8694,34.7,76,100,17.54,overcast clouds
4,Butaritari,KI,3.0707,172.7902,81.81,77,83,14.63,light rain
5,Severo-Kurilsk,RU,50.6789,156.125,47.86,94,100,1.25,overcast clouds
6,Barcelos,PT,41.5388,-8.6151,60.91,86,52,7.25,broken clouds
7,Bredasdorp,ZA,-34.5322,20.0403,49.21,85,10,3.6,clear sky
8,Northview,US,43.0456,-85.6006,77.86,44,75,8.05,broken clouds
9,Tasiilaq,GL,65.6145,-37.6368,44.76,68,64,4.14,broken clouds
10,Hobart,AU,-42.8794,147.3294,53.26,83,75,6.91,broken clouds
11,Mataura,NZ,-46.1927,168.8643,42.48,92,95,1.1,overcast clouds
12,Arica,CL,-18.475,-70.3042,62.15,77,0,4.61,clear sky
13,Rosetown,CA,51.5501,-108.0014,69.66,82,100,10.36,heavy intensity rain
14,Ribeira Grande,PT,38.5167,-28.7,63.77,75,24,23.96,few clouds
15,Christchurch,NZ,-43.5333,172.6333,49.91,81,75,6.91,broken clouds
16,Kruisfontein,ZA,-34.0033,24.7314,47.98,84,38,6.22,scattered clouds
17,Sambava,MG,-14.2667,50.1667,72.12,87,79,14.7,moderate rain
18,Savannah Bight,HN,16.45,-85.85,80.91,85,96,28.23,overcast clouds
19,Georgetown,MY,5.4112,100.3354,78.73,93,20,2.3,few clouds
20,Belmopan,BZ,17.25,-88.7667,73.78,96,100,3.09,overcast clouds
21,Kaeo,NZ,-35.1,173.7833,55.33,93,100,19.51,overcast clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,48.09,77,75,5.01,broken clouds
23,Port-Gentil,GA,-0.7193,8.7815,73.36,88,40,9.22,scattered clouds
24,Pemangkat,ID,1.1667,108.9667,76.68,88,32,5.44,scattered clouds
25,Oboyan,RU,51.2098,36.2792,65.66,63,24,10.09,few clouds
26,Okhotsk,RU,59.3833,143.3,51.53,83,100,4.36,overcast clouds
27,Port Keats,AU,-14.25,129.55,70.54,38,100,6.33,overcast clouds
28,Hasaki,JP,35.7333,140.8333,77.4,85,100,8.12,overcast clouds
29,Tuatapere,NZ,-46.1333,167.6833,47.34,82,84,3.09,broken clouds
30,Airai,TL,-8.9266,125.4092,58.06,72,85,3.02,overcast clouds
31,Port Elizabeth,ZA,-33.918,25.5701,52.32,89,0,6.91,clear sky
32,Busselton,AU,-33.65,115.3333,59.72,80,100,4.99,overcast clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,69.55,97,79,5.99,broken clouds
34,Qaanaaq,GL,77.484,-69.3632,36.93,81,34,1.68,scattered clouds
35,Hatillo,PR,18.4863,-66.8254,83.98,81,5,11.01,clear sky
36,Novoagansk,RU,61.9449,76.6625,59.94,67,95,5.75,overcast clouds
